RunID,OS,RAMTier,Pressure,TotalProcesses,StableCount,MediumCount,LargeCount,,Stable%,Medium%,Large%,,ErrorCount,MissingCount,Error%,Missing%
Run211,Win10,32Gb,0,163,123,15,6,,75.46,9.2,3.68,,0,19,0.0,11.66
Run212,Win10,32Gb,0,159,135,6,1,,84.91,3.77,0.63,,0,17,0.0,10.69
Run213,Win10,32Gb,0,164,132,7,4,,80.49,4.27,2.44,,0,21,0.0,12.8
Run214,Win10,32Gb,0,158,138,6,3,,87.34,3.8,1.9,,0,11,0.0,6.96
Run215,Win10,32Gb,0,160,137,10,2,,85.62,6.25,1.25,,0,11,0.0,6.88
Run241,Win10,32Gb,0,159,106,25,7,,66.67,15.72,4.4,,0,21,0.0,13.21
Run242,Win10,32Gb,0,151,107,18,4,,70.86,11.92,2.65,,0,22,0.0,14.57
Run243,Win10,32Gb,0,144,123,5,5,,85.42,3.47,3.47,,0,11,0.0,7.64
Run244,Win10,32Gb,0,151,132,2,2,,87.42,1.32,1.32,,0,15,0.0,9.93
Run245,Win10,32Gb,0,154,128,8,1,,83.12,5.19,0.65,,0,17,0.0,11.04
