TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,6,
0,108,Registry,67,
0,364,smss.exe,16,
0,484,csrss.exe,149,
0,568,wininit.exe,60,
0,592,csrss.exe,113,
0,680,winlogon.exe,93,
0,724,services.exe,60,
0,744,lsass.exe,155,
0,872,svchost.exe,155,
0,900,fontdrvhost.ex,46,
0,908,fontdrvhost.ex,48,
0,1004,svchost.exe,90,
0,444,svchost.exe,76,
0,804,dwm.exe,257,
0,996,svchost.exe,85,
0,1088,svchost.exe,70,
0,1096,svchost.exe,53,
0,1192,svchost.exe,70,
0,1228,svchost.exe,91,
0,1268,svchost.exe,105,
0,1316,svchost.exe,103,
0,1368,svchost.exe,75,
0,1412,svchost.exe,79,
0,1540,svchost.exe,56,
0,1568,svchost.exe,70,
0,1676,svchost.exe,90,
0,1780,svchost.exe,83,
0,1820,svchost.exe,54,
0,1828,svchost.exe,88,
0,1836,svchost.exe,67,
0,1960,svchost.exe,70,
0,2012,MemCompression,0,
0,1084,svchost.exe,69,
0,1212,svchost.exe,65,
0,2084,svchost.exe,97,
0,2148,svchost.exe,53,
0,2176,svchost.exe,75,
0,2184,svchost.exe,61,
0,2192,svchost.exe,81,
0,2288,svchost.exe,78,
0,2420,svchost.exe,77,
0,2428,spoolsv.exe,123,
0,2476,svchost.exe,75,
0,2496,svchost.exe,116,
0,2620,svchost.exe,76,
0,2708,svchost.exe,192,
0,2716,svchost.exe,209,
0,2724,svchost.exe,135,
0,2732,svchost.exe,121,
0,2764,svchost.exe,53,
0,2856,svchost.exe,116,
0,2936,svchost.exe,55,
0,2964,MpDefenderCore,126,
0,2988,VGAuthService.,83,
0,3008,MsMpEng.exe,2118,
0,2236,svchost.exe,101,
0,3104,vmtoolsd.exe,149,
0,3140,vm3dservice.ex,58,
0,3264,svchost.exe,86,
0,3528,svchost.exe,60,
0,3652,vm3dservice.ex,72,
0,3704,svchost.exe,67,
0,3928,SearchIndexer.,291,
0,4048,sihost.exe,166,
0,864,svchost.exe,131,
0,736,svchost.exe,176,
0,1472,taskhostw.exe,230,
0,944,svchost.exe,68,
0,3992,svchost.exe,92,
0,4160,ctfmon.exe,108,
0,4352,svchost.exe,92,
0,4400,svchost.exe,0,
0,4488,userinit.exe,0,
0,4568,explorer.exe,531,
0,4644,dllhost.exe,127,
0,4784,dllhost.exe,101,
0,5024,svchost.exe,127,
0,5060,msdtc.exe,95,
0,1496,AggregatorHost,49,
0,5224,WmiPrvSE.exe,134,
0,5564,svchost.exe,77,
0,6064,svchost.exe,72,
0,6100,svchost.exe,81,
0,5300,svchost.exe,98,
0,496,svchost.exe,73,
0,5956,SearchApp.exe,291,
0,688,StartMenuExper,232,
0,5744,RuntimeBroker.,185,
0,5944,RuntimeBroker.,146,
0,6224,SearchApp.exe,680,
0,6384,svchost.exe,131,
0,6444,svchost.exe,91,
0,6500,msedgewebview2,320,
0,6544,MoUsoCoreWorke,154,
0,6896,msedgewebview2,74,
0,7228,msedgewebview2,124,
0,7252,msedgewebview2,233,
0,7276,msedgewebview2,86,
0,7300,msedgewebview2,207,
0,7680,svchost.exe,109,
0,8076,NisSrv.exe,70,
0,6440,RuntimeBroker.,95,
0,8732,SecurityHealth,71,
0,8768,SecurityHealth,108,
0,8848,vmtoolsd.exe,132,
0,8908,OneDrive.exe,340,
0,8944,svchost.exe,81,
0,9008,svchost.exe,80,
0,8624,ShellExperienc,197,
0,9028,RuntimeBroker.,110,
0,1328,svchost.exe,138,
0,1684,svchost.exe,87,
0,7872,svchost.exe,101,
0,8196,svchost.exe,184,
0,2004,Taskmgr.exe,231,
0,6788,PhoneExperienc,718,
0,4316,MicrosoftEdgeU,96,
0,8612,powershell.exe,0,
0,6240,HxTsr.exe,0,
0,4292,svchost.exe,136,
0,7520,svchost.exe,0,
0,6476,OneDrive.Sync.,249,
0,3936,svchost.exe,110,
0,3160,HxTsr.exe,0,
0,2996,msedgewebview2,97,
0,6736,HxTsr.exe,0,
0,836,HxTsr.exe,0,
0,5476,svchost.exe,55,
0,8984,msedgewebview2,0,
0,4972,M365Copilot.ex,410,
0,3900,RuntimeBroker.,97,
0,6656,msedgewebview2,326,
0,4976,msedgewebview2,76,
0,4740,msedgewebview2,147,
0,6360,msedgewebview2,129,
0,2544,msedgewebview2,87,
0,1288,msedgewebview2,186,
0,7980,svchost.exe,68,
0,4032,SearchProtocol,98,
0,3356,SearchFilterHo,65,
0,1872,powershell.exe,0,

