Config,OS,RAM,Pressure,RunLabel,RunID_CSV,Smeared%,SnapshotDuration,Stable%,Medium%,Large%,Missing%,MediumLarge%
Win10_8Gb_0,Win10,8Gb,0,Run 1,Run001A,2.8,197.8383655,91.73,5.26,0.75,2.26,6.01
Win10_8Gb_0,Win10,8Gb,0,Run 2,Run002A,4.38,510.415853,79.17,7.64,7.64,5.56,15.28
Win10_8Gb_0,Win10,8Gb,0,Run 3,Run003A,1.59,747.490595,93.33,3.7,0.0,2.96,3.7
Win10_8Gb_0,Win10,8Gb,0,Run 4,Run004A,1.81,689.3232489,96.95,0.0,1.53,1.53,1.53
Win10_8Gb_0,Win10,8Gb,0,Run 5,Run005A,2.17,703.2189597,93.8,2.33,1.55,2.33,3.88
Win10_8Gb_1,Win10,8Gb,1,Run 1,Run006A,2.09,689.3171615,92.81,0.72,1.44,5.04,2.16
Win10_8Gb_1,Win10,8Gb,1,Run 2,Run007A,2.45,669.8832777,94.96,1.44,1.44,2.16,2.88
Win10_8Gb_1,Win10,8Gb,1,Run 3,Run008A,1.7,714.1863968,97.01,0.75,0.75,1.49,1.5
Win10_8Gb_1,Win10,8Gb,1,Run 4,Run009A,1.31,680.2982549,96.99,0.75,0.0,2.26,0.75
Win10_8Gb_1,Win10,8Gb,1,Run 5,Run010A,1.45,669.8615721,98.5,0.0,0.0,1.5,0.0
Win10_8Gb_2,Win10,8Gb,2,Run 1,Run011A,1.61,689.649726,98.5,0.0,0.0,1.5,0.0
Win10_8Gb_2,Win10,8Gb,2,Run 2,Run012A,1.68,720.3072691,96.27,0.75,0.75,2.24,1.5
Win10_8Gb_2,Win10,8Gb,2,Run 3,Run013A,1.45,664.511504,95.56,1.48,0.74,2.22,2.22
Win10_8Gb_2,Win10,8Gb,2,Run 4,Run014A,1.43,678.1063279,98.51,0.0,0.0,1.49,0.0
Win10_8Gb_2,Win10,8Gb,2,Run 5,Run015A,1.75,662.9375809,97.06,0.0,0.74,2.21,0.74
Win10_16Gb_0,Win10,16Gb,0,Run 1,Run031A,2.52,1285.1,89.29,5.0,2.86,2.86,7.86
Win10_16Gb_0,Win10,16Gb,0,Run 2,Run032A,1.5,1348.3873559,83.92,9.09,3.5,3.5,12.59
Win10_16Gb_0,Win10,16Gb,0,Run 3,Run033A,1.85,1259.1512394,85.82,6.38,2.13,5.67,8.51
Win10_16Gb_0,Win10,16Gb,0,Run 4,Run034A,1.12,1319.5887891,94.12,2.21,1.47,2.21,3.68
Win10_16Gb_0,Win10,16Gb,0,Run 5,Run035A,1.57,1253.0769241,89.58,6.94,1.39,2.08,8.33
Win10_16Gb_2,Win10,16Gb,2,Run 1,Run036A,1.6,1502.5179131,89.71,6.62,1.47,2.21,8.09
Win10_16Gb_2,Win10,16Gb,2,Run 2,Run037A,1.25,1520.0525138,94.78,2.24,1.49,1.49,3.73
Win10_16Gb_2,Win10,16Gb,2,Run 3,Run038A,1.39,1397.5086153,94.16,0.73,2.19,2.92,2.92
Win10_16Gb_2,Win10,16Gb,2,Run 4,Run039A,1.2,1468.4421337,93.88,1.36,0.68,4.08,2.04
Win10_16Gb_2,Win10,16Gb,2,Run 5,Run040A,1.18,1467.4317999,97.16,0.71,0.71,1.42,1.42
Win11_8Gb_0,Win11,8Gb,0,Run 1,Run016A,3.63,539.8250991,87.84,4.73,2.03,5.41,6.76
Win11_8Gb_0,Win11,8Gb,0,Run 2,Run017A,2.79,602.4632894,93.15,2.74,0.68,3.42,3.42
Win11_8Gb_0,Win11,8Gb,0,Run 3,Run018A,2.65,625.092075,95.21,0.68,0.68,3.42,1.36
Win11_8Gb_0,Win11,8Gb,0,Run 4,Run019A,2.34,634.8203333,96.43,0.0,0.71,2.86,0.71
Win11_8Gb_0,Win11,8Gb,0,Run 5,Run020A,2.07,630.8132444,97.08,0.73,0.0,2.19,0.73
Win11_8Gb_1,Win11,8Gb,1,Run 1,Run021A,3.21,565.3465075,92.91,2.84,0.71,3.55,3.55
Win11_8Gb_1,Win11,8Gb,1,Run 2,Run022A,2.55,556.3166691,97.06,1.47,0.0,1.47,1.47
Win11_8Gb_1,Win11,8Gb,1,Run 3,Run023A,3.22,571.6251529,93.33,2.96,0.74,2.96,3.7
Win11_8Gb_1,Win11,8Gb,1,Run 4,Run024A,2.91,493.8199547,98.51,0.0,0.0,1.49,0.0
Win11_8Gb_1,Win11,8Gb,1,Run 5,Run025A,3.37,545.6641763,94.2,2.17,0.72,2.9,2.89
Win11_8Gb_2,Win11,8Gb,2,Run 1,Run026A,3.2,640.6592905,97.04,0.74,0.74,1.48,1.48
Win11_8Gb_2,Win11,8Gb,2,Run 2,Run027A,3.19,553.3333116,97.78,0.0,0.74,1.48,0.74
Win11_8Gb_2,Win11,8Gb,2,Run 3,Run028A,2.8,542.6284457,97.04,0.74,0.74,1.48,1.48
Win11_8Gb_2,Win11,8Gb,2,Run 4,Run029A,2.88,553.9731859,97.04,0.0,1.48,1.48,1.48
Win11_8Gb_2,Win11,8Gb,2,Run 5,Run030A,2.97,582.8317931,95.71,0.71,0.0,3.57,0.71
Win11_16Gb_0,Win11,16Gb,0,Run 1,Run041A,1.62,1324.995281,86.21,6.9,1.38,5.52,8.28
Win11_16Gb_0,Win11,16Gb,0,Run 2,Run042A,2.0,1300.0007548,93.66,3.52,0.0,2.82,3.52
Win11_16Gb_0,Win11,16Gb,0,Run 3,Run043A,1.64,1281.0483635,92.75,3.62,0.0,3.62,3.62
Win11_16Gb_0,Win11,16Gb,0,Run 4,Run044A,1.42,1133.9184218,94.78,2.99,0.75,1.49,3.74
Win11_16Gb_0,Win11,16Gb,0,Run 5,Run045A,1.27,1226.8086149,96.27,2.24,0.0,1.49,2.24
Win11_16Gb_2,Win11,16Gb,2,Run 1,Run046A,1.51,1534.3237856,92.65,2.94,1.47,2.94,4.41
Win11_16Gb_2,Win11,16Gb,2,Run 2,Run047A,1.95,1458.8224077,91.91,2.94,2.94,2.21,5.88
Win11_16Gb_2,Win11,16Gb,2,Run 3,Run048A,1.16,1440.1673178,96.99,0.75,0.75,1.5,1.5
Win11_16Gb_2,Win11,16Gb,2,Run 4,Run049A,1.36,1429.2632916,96.99,0.75,0.75,1.5,1.5
Win11_16Gb_2,Win11,16Gb,2,Run 5,Run050A,1.34,1392.8127964,96.24,1.5,0.75,1.5,2.25
