Config,OS,RAM,Pressure,RunLabel,RunID_CSV,Smeared%,SnapshotDuration,AcquisitionDuration,Stable%,Medium%,Large%,Missing%,MediumLarge%
Win10_8Gb_0,Win10,8Gb,0,Run 1,Run001,17.89,575.3579488,30.6770746,76.81,6.52,4.35,12.32,10.87
Win10_8Gb_0,Win10,8Gb,0,Run 2,Run002,4.26,688.9437267,28.852381,85.93,3.7,0.74,9.63,4.44
Win10_8Gb_0,Win10,8Gb,0,Run 3,Run003,4.23,687.6769974,29.8564427,86.67,2.96,0.0,10.37,2.96
Win10_8Gb_0,Win10,8Gb,0,Run 4,Run004,5.07,696.7416918,31.8146762,84.89,4.32,0.0,10.79,4.32
Win10_8Gb_0,Win10,8Gb,0,Run 5,Run005,5.61,690.5419537,29.8547393,81.82,4.9,0.7,12.59,5.6
Win10_8Gb_0,Win10,8Gb,0,Run 6,Run006,9.05,603.8020139,28.8212514,88.49,2.88,0.72,7.91,3.6
Win10_8Gb_0,Win10,8Gb,0,Run 7,Run007,4.58,664.6555151,33.9684816,86.43,3.57,0.71,9.29,4.28
Win10_8Gb_0,Win10,8Gb,0,Run 8,Run008,3.61,682.5967797,26.7957534,91.97,1.46,0.0,6.57,1.46
Win10_8Gb_0,Win10,8Gb,0,Run 9,Run009,3.88,690.273414,31.8898354,88.11,0.0,0.7,11.19,0.7
Win10_8Gb_0,Win10,8Gb,0,Run 10,Run010,3.71,682.3150409,29.7889443,88.73,0.0,0.7,10.56,0.7
Win10_8Gb_0,Win10,8Gb,0,Run 11,Run011,4.89,674.5307354,31.8433727,85.21,2.82,1.41,10.56,4.23
Win10_8Gb_0,Win10,8Gb,0,Run 12,Run012,3.6,678.2387917,30.7989204,86.52,3.55,0.71,9.22,4.26
Win10_8Gb_0,Win10,8Gb,0,Run 13,Run013,3.49,688.8875551,29.8571148,87.23,3.55,0.0,9.22,3.55
Win10_8Gb_0,Win10,8Gb,0,Run 14,Run014,3.7,675.8779372,30.7329333,88.41,3.62,0.72,7.25,4.34
Win10_8Gb_0,Win10,8Gb,0,Run 15,Run015,3.36,686.3405637,29.8454864,92.65,1.47,0.0,5.88,1.47
Win10_8Gb_0,Win10,8Gb,0,Run 16,Run016,4.19,669.4269438,28.838843,89.86,2.9,0.0,7.25,2.9
Win10_8Gb_0,Win10,8Gb,0,Run 17,Run017,3.49,674.5740217,29.8656128,89.86,2.17,0.72,7.25,2.89
Win10_8Gb_0,Win10,8Gb,0,Run 18,Run018,5.39,657.6346281,31.9127099,83.8,2.11,1.41,12.68,3.52
Win10_8Gb_0,Win10,8Gb,0,Run 19,Run019,3.62,690.1079448,28.9454858,89.13,2.9,0.72,7.25,3.62
Win10_8Gb_0,Win10,8Gb,0,Run 20,Run020,3.92,675.1667857,28.8316726,87.94,3.55,0.0,8.51,3.55
